subject,hue,term
1,330,Pink
1,54,Yellow
1,276,Purple
1,30,Orange
1,342,Red
1,84,Green
2,264,Purple
2,18,Orange
2,132,Green
2,270,Purple
2,252,Reject
2,252,Reject
3,168,Reject
3,30,Orange
3,270,Purple
3,240,Reject
3,180,Reject
3,42,Yellow
4,150,Green
4,84,Green
4,300,Pink
4,198,Reject
4,54,Yellow
4,348,Red
5,348,Red
5,120,Green
5,162,Green
5,60,Yellow
5,84,Green
5,120,Green
6,348,Pink
6,264,Purple
6,330,Pink
6,72,Green
6,198,Reject
6,78,Green
7,36,Reject
7,60,Yellow
7,36,Orange
7,306,Pink
7,24,Orange
7,102,Green
8,246,Reject
8,96,Green
8,216,Reject
8,6,Red
8,312,Pink
8,222,Reject
9,144,Green
9,132,Green
9,228,Reject
9,222,Reject
9,102,Green
9,168,Green
10,228,Reject
10,192,Reject
10,138,Green
10,354,Red
10,156,Green
10,102,Green
11,270,Purple
11,180,Reject
11,216,Reject
11,126,Green
11,330,Pink
11,0,Red
12,90,Green
12,330,Pink
12,246,Reject
12,306,Pink
12,354,Red
12,54,Yellow
13,192,Reject
13,6,Orange
13,42,Orange
13,48,Yellow
13,300,Pink
13,192,Reject
14,0,Red
14,234,Reject
14,114,Green
14,306,Pink
14,318,Purple
14,186,Reject
15,168,Green
15,48,Yellow
15,114,Green
15,156,Green
15,336,Pink
15,60,Yellow
16,234,Reject
16,162,Green
16,342,Pink
16,228,Reject
16,144,Green
16,126,Green
17,156,Green
17,288,Purple
17,42,Orange
17,138,Green
17,24,Orange
17,312,Pink
18,252,Purple
18,72,Green
18,48,Yellow
18,210,Reject
18,282,Purple
18,288,Pink
19,312,Pink
19,96,Green
19,252,Purple
19,306,Purple
19,258,Reject
19,354,Red
20,276,Purple
20,264,Purple
20,240,Reject
20,252,Purple
20,222,Reject
20,264,Purple
21,228,Reject
21,204,Reject
21,354,Red
21,216,Reject
21,204,Reject
21,240,Reject
22,12,Orange
22,300,Purple
22,258,Purple
22,264,Purple
22,0,Red
22,150,Green
23,276,Purple
23,162,Green
23,6,Red
23,84,Green
23,288,Purple
23,54,Yellow
24,108,Green
24,66,Green
24,294,Purple
24,168,Reject
24,48,Yellow
24,342,Pink
25,318,Pink
25,318,Pink
25,216,Reject
25,126,Green
25,288,Purple
25,0,Red
26,108,Green
26,174,Reject
26,120,Green
26,84,Green
26,204,Reject
26,102,Green
27,174,Reject
27,18,Orange
27,36,Orange
27,252,Reject
27,240,Reject
27,12,Red
28,204,Reject
28,150,Green
28,30,Orange
28,210,Reject
28,42,Orange
28,294,Purple
29,18,Orange
29,78,Green
29,282,Purple
29,270,Reject
29,324,Pink
29,78,Green
30,294,Purple
30,174,Reject
30,348,Red
30,198,Reject
30,312,Purple
30,294,Pink
31,318,Pink
31,336,Pink
31,6,Orange
31,300,Pink
31,174,Reject
31,36,Orange
32,270,Purple
32,204,Reject
32,66,Green
32,312,Pink
32,24,Orange
32,336,Pink
33,96,Green
33,270,Purple
33,120,Green
33,72,Green
33,12,Orange
33,210,Reject
34,186,Reject
34,324,Pink
34,132,Green
34,258,Purple
34,324,Pink
34,144,Green
35,144,Green
35,252,Reject
35,24,Orange
35,78,Green
35,210,Reject
35,312,Pink
36,264,Purple
36,90,Green
36,204,Reject
36,264,Reject
36,282,Purple
36,108,Green
37,84,Green
37,270,Purple
37,276,Purple
37,60,Yellow
37,222,Reject
37,246,Reject
38,138,Green
38,186,Reject
38,234,Reject
38,180,Reject
38,156,Green
38,132,Green
39,150,Green
39,12,Red
39,264,Purple
39,324,Pink
39,204,Reject
39,252,Reject
40,138,Green
40,114,Green
40,180,Reject
40,336,Pink
40,234,Reject
40,282,Purple
