subject,hue,term
1,324,Pink
1,90,Reject
1,270,Pink
1,300,Purple
1,150,Reject
1,96,Reject
2,318,Pink
2,336,Reject
2,342,Pink
2,252,Blue
2,312,Pink
2,138,Reject
3,252,Blue
3,318,Pink
3,24,Orange
3,210,Blue
3,90,Reject
3,306,Pink
4,0,Red
4,6,Red
4,54,Yellow
4,36,Orange
4,168,Reject
4,348,Pink
5,180,Blue
5,324,Pink
5,102,Reject
5,102,Reject
5,210,Blue
5,264,Purple
6,288,Purple
6,240,Blue
6,90,Reject
6,24,Reject
6,234,Blue
6,240,Blue
7,258,Purple
7,60,Reject
7,162,Reject
7,60,Yellow
7,228,Blue
7,12,Orange
8,354,Red
8,318,Pink
8,66,Reject
8,348,Red
8,96,Reject
8,72,Reject
9,66,Yellow
9,24,Orange
9,264,Blue
9,132,Reject
9,306,Pink
9,282,Purple
10,18,Orange
10,60,Yellow
10,288,Purple
10,12,Red
10,126,Reject
10,348,Red
11,18,Orange
11,186,Blue
11,228,Blue
11,138,Reject
11,240,Blue
11,288,Purple
12,312,Pink
12,342,Pink
12,78,Reject
12,258,Blue
12,234,Blue
12,300,Purple
13,222,Blue
13,354,Red
13,324,Pink
13,276,Purple
13,114,Reject
13,174,Blue
14,138,Reject
14,312,Purple
14,18,Orange
14,306,Pink
14,186,Blue
14,126,Reject
15,252,Purple
15,198,Blue
15,342,Pink
15,282,Purple
15,36,Orange
15,42,Yellow
16,228,Blue
16,168,Reject
16,336,Pink
16,198,Blue
16,54,Yellow
16,72,Yellow
17,120,Reject
17,120,Reject
17,264,Reject
17,36,Orange
17,228,Blue
17,96,Reject
18,6,Red
18,30,Orange
18,234,Blue
18,114,Reject
18,204,Blue
18,174,Blue
19,330,Pink
19,330,Pink
19,354,Red
19,246,Blue
19,276,Purple
19,222,Blue
20,114,Reject
20,216,Blue
20,144,Reject
20,180,Reject
20,6,Red
20,168,Blue
21,276,Purple
21,270,Blue
21,114,Reject
21,210,Blue
21,108,Reject
21,60,Yellow
22,330,Pink
22,54,Yellow
22,180,Blue
22,36,Reject
22,204,Blue
22,126,Reject
23,132,Reject
23,30,Reject
23,150,Reject
23,234,Blue
23,354,Red
23,258,Blue
24,342,Pink
24,96,Reject
24,66,Yellow
24,300,Purple
24,150,Reject
24,0,Red
25,252,Blue
25,258,Blue
25,120,Reject
25,78,Reject
25,294,Purple
25,276,Purple
26,120,Reject
26,30,Orange
26,156,Reject
26,90,Reject
26,72,Reject
26,192,Pink
27,162,Reject
27,162,Reject
27,42,Yellow
27,192,Blue
27,294,Purple
27,42,Yellow
28,78,Reject
28,108,Reject
28,48,Yellow
28,210,Blue
28,12,Orange
28,174,Blue
29,330,Pink
29,300,Pink
29,174,Reject
29,180,Reject
29,84,Reject
29,216,Blue
30,48,Yellow
30,216,Blue
30,126,Reject
30,132,Reject
30,216,Blue
30,144,Reject
31,264,Purple
31,48,Yellow
31,336,Pink
31,156,Reject
31,312,Pink
31,288,Purple
32,102,Reject
32,240,Blue
32,78,Reject
32,108,Reject
32,102,Reject
32,186,Blue
33,162,Reject
33,18,Red
33,222,Blue
33,246,Blue
33,0,Red
33,150,Reject
34,270,Purple
34,156,Reject
34,204,Blue
34,144,Reject
34,12,Red
34,48,Reject
35,66,Yellow
35,186,Blue
35,54,Yellow
35,108,Reject
35,282,Pink
35,84,Reject
36,336,Pink
36,324,Pink
36,246,Blue
36,0,Red
36,192,Blue
36,294,Pink
37,156,Reject
37,294,Purple
37,192,Blue
37,42,Reject
37,144,Reject
37,72,Reject
38,348,Red
38,138,Reject
38,84,Yellow
38,306,Pink
38,132,Reject
38,168,Reject
39,270,Reject
39,204,Blue
39,24,Orange
39,84,Reject
39,222,Blue
39,246,Blue
40,318,Pink
40,282,Purple
40,198,Blue
40,198,Blue
40,30,Yellow
40,6,Red
