subject,hue,term
1,54,Yellow
1,156,Green
1,174,Blue
1,288,Purple
1,294,Purple
1,216,Blue
2,330,Pink
2,204,Blue
2,168,Green
2,36,Yellow
2,30,Reject
2,90,Green
3,174,Blue
3,120,Green
3,198,Blue
3,96,Green
3,342,Red
3,216,Blue
4,120,Green
4,150,Green
4,12,Red
4,48,Yellow
4,60,Yellow
4,180,Blue
5,0,Red
5,192,Blue
5,246,Blue
5,204,Blue
5,300,Purple
5,282,Purple
6,234,Blue
6,42,Yellow
6,252,Blue
6,162,Blue
6,246,Blue
6,54,Yellow
7,66,Yellow
7,24,Reject
7,276,Purple
7,204,Blue
7,306,Pink
7,18,Reject
8,96,Green
8,12,Red
8,156,Green
8,246,Blue
8,48,Yellow
8,36,Reject
9,18,Reject
9,192,Blue
9,258,Purple
9,48,Yellow
9,228,Blue
9,42,Yellow
10,150,Green
10,300,Pink
10,180,Blue
10,120,Green
10,78,Green
10,294,Purple
11,156,Reject
11,234,Blue
11,102,Green
11,6,Red
11,348,Pink
11,84,Green
12,330,Purple
12,330,Pink
12,24,Reject
12,156,Green
12,318,Purple
12,300,Purple
13,174,Reject
13,150,Green
13,84,Green
13,30,Yellow
13,216,Blue
13,312,Pink
14,270,Purple
14,258,Purple
14,306,Purple
14,252,Blue
14,288,Purple
14,0,Red
15,78,Yellow
15,228,Blue
15,336,Pink
15,324,Purple
15,306,Purple
15,228,Blue
16,0,Red
16,6,Red
16,108,Green
16,144,Green
16,114,Green
16,42,Reject
17,258,Blue
17,270,Purple
17,162,Green
17,204,Blue
17,126,Green
17,354,Red
18,354,Red
18,162,Green
18,342,Red
18,60,Yellow
18,312,Purple
18,258,Blue
19,102,Green
19,150,Reject
19,30,Reject
19,90,Green
19,264,Blue
19,354,Red
20,342,Pink
20,174,Blue
20,60,Yellow
20,72,Green
20,126,Green
20,306,Pink
21,108,Green
21,198,Blue
21,90,Green
21,192,Blue
21,234,Blue
21,120,Green
22,96,Green
22,30,Reject
22,222,Blue
22,84,Green
22,210,Blue
22,270,Purple
23,60,Yellow
23,90,Green
23,336,Pink
23,12,Reject
23,282,Purple
23,348,Red
24,6,Red
24,168,Blue
24,198,Blue
24,162,Reject
24,186,Blue
24,54,Yellow
25,264,Purple
25,102,Green
25,348,Red
25,354,Red
25,240,Blue
25,300,Pink
26,114,Green
26,24,Reject
26,264,Purple
26,330,Pink
26,234,Blue
26,126,Green
27,312,Pink
27,294,Pink
27,222,Blue
27,0,Red
27,270,Purple
27,186,Blue
28,72,Green
28,48,Yellow
28,138,Green
28,186,Blue
28,336,Pink
28,324,Pink
29,138,Green
29,84,Green
29,276,Purple
29,54,Yellow
29,318,Pink
29,324,Pink
30,114,Green
30,246,Blue
30,66,Green
30,78,Green
30,276,Purple
30,222,Blue
31,36,Reject
31,36,Yellow
31,348,Red
31,276,Purple
31,96,Green
31,18,Reject
32,126,Green
32,168,Blue
32,138,Green
32,108,Green
32,132,Green
32,18,Red
33,108,Green
33,240,Blue
33,78,Green
33,180,Blue
33,66,Reject
33,228,Blue
34,216,Blue
34,138,Green
34,192,Blue
34,318,Pink
34,294,Pink
34,210,Blue
35,66,Yellow
35,336,Pink
35,288,Purple
35,132,Green
35,210,Blue
35,72,Green
36,132,Green
36,324,Pink
36,240,Blue
36,264,Purple
36,240,Blue
36,342,Red
37,318,Purple
37,210,Blue
37,144,Green
37,102,Green
37,12,Red
37,132,Green
38,222,Blue
38,252,Blue
38,24,Reject
38,42,Reject
38,288,Purple
38,114,Green
39,282,Purple
39,252,Purple
39,144,Green
39,186,Blue
39,6,Red
39,282,Purple
40,198,Blue
40,72,Green
40,312,Purple
40,168,Green
40,180,Blue
40,144,Green
