subject,hue,term
1,48,Yellow
1,240,Blue
1,84,Green
1,270,Purple
1,174,Green
1,288,Reject
2,288,Reject
2,216,Blue
2,102,Green
2,150,Green
2,186,Blue
2,150,Green
3,144,Green
3,120,Green
3,24,Orange
3,84,Green
3,132,Green
3,90,Green
4,294,Reject
4,282,Purple
4,78,Green
4,306,Reject
4,276,Blue
4,186,Blue
5,180,Green
5,354,Red
5,6,Red
5,306,Reject
5,162,Green
5,198,Blue
6,258,Blue
6,300,Purple
6,294,Reject
6,0,Red
6,78,Yellow
6,156,Green
7,228,Blue
7,348,Reject
7,294,Reject
7,54,Yellow
7,336,Reject
7,48,Yellow
8,282,Purple
8,42,Yellow
8,12,Orange
8,288,Purple
8,180,Blue
8,102,Green
9,312,Purple
9,156,Blue
9,210,Blue
9,6,Red
9,330,Reject
9,0,Red
10,24,Orange
10,150,Green
10,156,Green
10,60,Yellow
10,108,Green
10,24,Orange
11,18,Orange
11,258,Purple
11,72,Green
11,48,Yellow
11,192,Blue
11,270,Purple
12,186,Blue
12,192,Blue
12,120,Green
12,210,Blue
12,300,Reject
12,6,Orange
13,126,Green
13,204,Blue
13,252,Blue
13,18,Orange
13,186,Blue
13,24,Orange
14,246,Blue
14,228,Blue
14,42,Yellow
14,90,Green
14,66,Yellow
14,318,Reject
15,60,Yellow
15,66,Yellow
15,282,Purple
15,174,Green
15,90,Green
15,276,Purple
16,318,Purple
16,228,Blue
16,132,Green
16,66,Yellow
16,264,Purple
16,312,Reject
17,276,Purple
17,324,Red
17,30,Orange
17,66,Yellow
17,234,Blue
17,198,Blue
18,330,Orange
18,210,Blue
18,78,Yellow
18,294,Purple
18,162,Green
18,102,Green
19,180,Blue
19,222,Blue
19,318,Reject
19,312,Reject
19,78,Green
19,252,Blue
20,354,Red
20,258,Purple
20,54,Yellow
20,282,Purple
20,240,Blue
20,138,Green
21,270,Purple
21,204,Blue
21,246,Blue
21,12,Red
21,204,Blue
21,192,Blue
22,138,Green
22,216,Blue
22,144,Green
22,30,Orange
22,132,Green
22,18,Orange
23,300,Reject
23,306,Reject
23,342,Reject
23,336,Reject
23,270,Blue
23,54,Yellow
24,246,Blue
24,324,Reject
24,144,Green
24,330,Reject
24,96,Green
24,36,Reject
25,180,Blue
25,108,Green
25,114,Green
25,108,Green
25,30,Orange
25,126,Green
26,348,Red
26,198,Blue
26,12,Orange
26,114,Green
26,60,Yellow
26,42,Yellow
27,216,Blue
27,30,Orange
27,240,Blue
27,348,Red
27,336,Reject
27,312,Reject
28,138,Green
28,72,Yellow
28,264,Purple
28,138,Green
28,330,Red
28,108,Green
29,288,Purple
29,84,Green
29,36,Yellow
29,36,Yellow
29,96,Green
29,324,Reject
30,72,Yellow
30,168,Blue
30,234,Blue
30,210,Blue
30,168,Green
30,168,Reject
31,192,Blue
31,126,Green
31,264,Blue
31,150,Green
31,222,Blue
31,102,Green
32,264,Purple
32,36,Orange
32,252,Blue
32,84,Green
32,300,Purple
32,342,Reject
33,12,Red
33,198,Blue
33,222,Blue
33,114,Green
33,174,Reject
33,18,Orange
34,252,Blue
34,6,Red
34,354,Red
34,0,Red
34,42,Orange
34,234,Blue
35,354,Red
35,306,Purple
35,336,Red
35,54,Yellow
35,162,Reject
35,174,Blue
36,162,Green
36,48,Yellow
36,72,Yellow
36,96,Green
36,120,Green
36,144,Green
37,342,Reject
37,222,Blue
37,132,Green
37,114,Green
37,324,Reject
37,90,Green
38,216,Blue
38,156,Green
38,120,Green
38,234,Blue
38,0,Red
38,96,Green
39,168,Green
39,318,Purple
39,204,Blue
39,276,Purple
39,258,Purple
39,126,Green
40,342,Red
40,240,Blue
40,60,Yellow
40,228,Blue
40,246,Blue
40,348,Purple
