subject,hue,term
1,324,Pink
1,198,Blue
1,252,Blue
1,60,Yellow
1,144,Green
1,354,Reject
2,186,Reject
2,180,Blue
2,96,Green
2,312,Pink
2,336,Pink
2,258,Purple
3,270,Purple
3,348,Pink
3,90,Green
3,312,Purple
3,222,Blue
3,240,Blue
4,198,Blue
4,138,Green
4,54,Yellow
4,192,Blue
4,234,Blue
4,162,Reject
5,108,Green
5,216,Blue
5,240,Blue
5,270,Purple
5,306,Purple
5,114,Green
6,216,Blue
6,12,Orange
6,84,Green
6,228,Blue
6,132,Green
6,228,Blue
7,30,Yellow
7,288,Purple
7,252,Blue
7,12,Orange
7,306,Pink
7,36,Reject
8,18,Orange
8,336,Pink
8,126,Green
8,228,Blue
8,210,Blue
8,162,Green
9,246,Blue
9,0,Reject
9,36,Orange
9,114,Green
9,348,Reject
9,6,Reject
10,24,Orange
10,72,Green
10,66,Yellow
10,342,Pink
10,354,Reject
10,96,Green
11,54,Yellow
11,162,Green
11,144,Green
11,36,Orange
11,264,Purple
11,138,Green
12,42,Yellow
12,300,Pink
12,30,Reject
12,84,Green
12,30,Orange
12,276,Purple
13,174,Blue
13,48,Orange
13,234,Blue
13,204,Blue
13,66,Green
13,42,Orange
14,72,Green
14,60,Yellow
14,60,Yellow
14,186,Blue
14,318,Pink
14,138,Green
15,72,Green
15,306,Pink
15,66,Yellow
15,318,Pink
15,318,Purple
15,174,Blue
16,30,Orange
16,108,Green
16,96,Green
16,156,Green
16,342,Pink
16,288,Purple
17,48,Yellow
17,276,Purple
17,6,Orange
17,90,Green
17,150,Green
17,132,Green
18,276,Purple
18,144,Green
18,216,Blue
18,312,Pink
18,318,Pink
18,222,Blue
19,270,Purple
19,336,Pink
19,150,Green
19,126,Green
19,300,Purple
19,6,Reject
20,108,Green
20,282,Purple
20,204,Blue
20,102,Yellow
20,258,Purple
20,138,Green
21,348,Pink
21,18,Reject
21,222,Blue
21,18,Orange
21,18,Orange
21,354,Reject
22,294,Purple
22,204,Blue
22,90,Green
22,186,Blue
22,180,Blue
22,306,Pink
23,120,Green
23,168,Green
23,102,Green
23,294,Purple
23,180,Blue
23,294,Pink
24,258,Blue
24,120,Green
24,264,Purple
24,216,Blue
24,168,Blue
24,222,Blue
25,330,Pink
25,234,Blue
25,0,Reject
25,78,Green
25,96,Green
25,240,Blue
26,294,Purple
26,288,Purple
26,234,Blue
26,282,Pink
26,54,Yellow
26,330,Pink
27,264,Purple
27,198,Blue
27,12,Orange
27,174,Blue
27,192,Blue
27,6,Reject
28,150,Green
28,108,Green
28,42,Orange
28,78,Green
28,0,Reject
28,132,Green
29,168,Blue
29,78,Green
29,42,Yellow
29,168,Green
29,78,Green
29,252,Blue
30,114,Green
30,240,Blue
30,66,Green
30,144,Green
30,282,Purple
30,300,Purple
31,24,Orange
31,258,Blue
31,336,Pink
31,252,Purple
31,342,Pink
31,300,Purple
32,198,Blue
32,210,Blue
32,210,Reject
32,324,Pink
32,342,Pink
32,156,Green
33,276,Purple
33,120,Green
33,90,Green
33,126,Green
33,132,Green
33,246,Blue
34,330,Purple
34,180,Blue
34,36,Yellow
34,54,Yellow
34,120,Green
34,186,Blue
35,210,Blue
35,150,Green
35,156,Reject
35,312,Purple
35,12,Reject
35,48,Orange
36,324,Purple
36,264,Purple
36,192,Blue
36,48,Yellow
36,162,Green
36,192,Blue
37,126,Green
37,288,Purple
37,324,Pink
37,24,Orange
37,114,Green
37,60,Yellow
38,102,Green
38,282,Purple
38,228,Blue
38,330,Pink
38,156,Green
38,72,Green
39,348,Pink
39,84,Green
39,246,Blue
39,102,Green
39,174,Reject
39,204,Blue
40,270,Purple
40,0,Reject
40,24,Orange
40,354,Reject
40,84,Green
40,246,Blue
